DOID:4606	bile duct cancer
DOID:8778	Crohn's disease
DOID:1793	pancreatic cancer
DOID:11612	polycystic ovary syndrome
DOID:0050742	nicotine dependence
DOID:10871	age related macular degeneration
DOID:2377	multiple sclerosis
DOID:12236	primary biliary cirrhosis
DOID:0050156	idiopathic pulmonary fibrosis
DOID:5099	middle ear cancer
DOID:3310	atopic dermatitis
DOID:10763	hypertension
DOID:10283	prostate cancer
DOID:1725	peritoneum cancer
DOID:7693	abdominal aortic aneurysm
DOID:1826	epilepsy syndrome
DOID:1612	breast cancer
DOID:11239	appendix cancer
DOID:3312	bipolar disorder
DOID:10608	celiac disease
DOID:1936	atherosclerosis
DOID:4362	cervical cancer
DOID:5408	Paget's disease of bone
DOID:11819	ureter cancer
DOID:11934	head and neck cancer
DOID:9970	obesity
DOID:10976	membranous glomerulonephritis
DOID:986	alopecia areata
DOID:1686	glaucoma
DOID:5041	esophageal cancer
DOID:11949	Creutzfeldt-Jakob disease
DOID:5612	spinal cancer
DOID:10811	nasal cavity cancer
DOID:585	nephrolithiasis
DOID:2986	IgA glomerulonephritis
DOID:175	vascular cancer
DOID:13241	Behcet's disease
DOID:11555	Fuchs' endothelial dystrophy
DOID:184	bone cancer
DOID:8850	salivary gland cancer
DOID:4159	skin cancer
DOID:11615	penile cancer
DOID:1595	endogenous depression
DOID:2841	asthma
DOID:3121	gallbladder cancer
DOID:3070	malignant glioma
DOID:1781	thyroid cancer
DOID:5875	retroperitoneal cancer
DOID:3571	liver cancer
DOID:13223	uterine fibroid
DOID:10652	Alzheimer's disease
DOID:9917	pleural cancer
DOID:2998	testicular cancer
DOID:10534	stomach cancer
DOID:1909	melanoma
DOID:9206	Barrett's esophagus
DOID:1324	lung cancer
DOID:0060119	pharynx cancer
DOID:3565	meningioma
DOID:2355	anemia
DOID:11476	osteoporosis
DOID:1115	sarcoma
DOID:1245	vulva cancer
DOID:2531	hematologic cancer
DOID:9296	cleft lip
DOID:0050741	alcohol dependence
DOID:1964	fallopian tube cancer
DOID:7147	ankylosing spondylitis
DOID:1192	peripheral nervous system neoplasm
DOID:11119	Gilles de la Tourette syndrome
DOID:263	kidney cancer
DOID:5559	mediastinal cancer
DOID:8893	psoriasis
DOID:11714	gestational diabetes
DOID:14330	Parkinson's disease
DOID:8986	narcolepsy
DOID:594	panic disorder
DOID:3393	coronary artery disease
DOID:12361	Graves' disease
DOID:8577	ulcerative colitis
DOID:14221	metabolic syndrome X
DOID:2994	germ cell cancer
DOID:14227	azoospermia
DOID:4481	allergic rhinitis
DOID:12995	conduct disorder
DOID:12930	dilated cardiomyopathy
DOID:332	amyotrophic lateral sclerosis
DOID:11920	tracheal cancer
DOID:2174	ocular cancer
DOID:9835	refractive error
DOID:9074	systemic lupus erythematosus
DOID:1312	focal segmental glomerulosclerosis
DOID:119	vaginal cancer
DOID:9008	psoriatic arthritis
DOID:7148	rheumatoid arthritis
DOID:13189	gout
DOID:2596	larynx cancer
DOID:8398	osteoarthritis
DOID:3083	chronic obstructive pulmonary disease
DOID:10941	intracranial aneurysm
DOID:824	periodontitis
DOID:4045	muscle cancer
DOID:9744	type 1 diabetes mellitus
DOID:14004	thoracic aortic aneurysm
DOID:2394	ovarian cancer
DOID:13499	jejunal cancer
DOID:1024	leprosy
DOID:5419	schizophrenia
DOID:10021	duodenum cancer
DOID:0060073	lymphatic system cancer
DOID:4989	pancreatitis
DOID:12849	autistic disorder
DOID:12185	otosclerosis
DOID:418	systemic scleroderma
DOID:9352	type 2 diabetes mellitus
DOID:10153	ileum cancer
DOID:14268	sclerosing cholangitis
DOID:12306	vitiligo
DOID:216	dental caries
DOID:2043	hepatitis B
DOID:13378	Kawasaki disease
DOID:11054	urinary bladder cancer
DOID:90	degenerative disc disease
DOID:6364	migraine
DOID:1094	attention deficit hyperactivity disorder
DOID:3277	thymus cancer
DOID:784	chronic kidney failure
DOID:363	uterine cancer
DOID:1319	brain cancer
DOID:1790	malignant mesothelioma
DOID:1993	rectum cancer
DOID:219	colon cancer
DOID:1459	hypothyroidism
DOID:12365	malaria
DOID:3953	adrenal gland cancer
DOID:635	acquired immunodeficiency syndrome
DOID:0050425	restless legs syndrome
