"","child","parent","length"
"1","DOID:3127","DOID:7",5
"2","DOID:3121","DOID:14566",6
"3","DOID:3120","DOID:14566",7
"4","DOID:3122","DOID:7",4
"5","DOID:3128","DOID:7",5
"6","DOID:2838","DOID:7",7
"7","DOID:2839","DOID:7",7
"8","DOID:2832","DOID:0050117",5
"9","DOID:2833","DOID:7",7
"10","DOID:2834","DOID:7",6
"11","DOID:2835","DOID:7",7
"12","DOID:11379","DOID:0050117",4
"13","DOID:11371","DOID:7",5
"14","DOID:11372","DOID:7",5
"15","DOID:11374","DOID:7",6
"16","DOID:9910","DOID:7",9
"17","DOID:8093","DOID:14566",7
"18","DOID:8096","DOID:14566",8
"19","DOID:8097","DOID:14566",8
"20","DOID:8729","DOID:0050117",3
"21","DOID:7241","DOID:14566",8
"22","DOID:7242","DOID:14566",7
"23","DOID:7244","DOID:14566",8
"24","DOID:7717","DOID:14566",9
"25","DOID:7246","DOID:14566",9
"26","DOID:9911","DOID:7",5
"27","DOID:7718","DOID:14566",9
"28","DOID:11217","DOID:7",7
"29","DOID:14336","DOID:7",6
"30","DOID:11213","DOID:7",9
"31","DOID:11212","DOID:7",10
"32","DOID:11211","DOID:7",11
"33","DOID:14330","DOID:7",6
"34","DOID:11219","DOID:7",9
"35","DOID:0060116","DOID:14566",5
"36","DOID:0060117","DOID:14566",4
"37","DOID:0060114","DOID:14566",6
"38","DOID:0060115","DOID:14566",4
"39","DOID:0060112","DOID:14566",6
"40","DOID:0060110","DOID:14566",6
"41","DOID:0060111","DOID:14566",6
"42","DOID:8892","DOID:7",5
"43","DOID:8893","DOID:7",4
"44","DOID:0060118","DOID:7",2
"45","DOID:0060119","DOID:14566",5
"46","DOID:47","DOID:7",4
"47","DOID:8545","DOID:630",2
"48","DOID:8543","DOID:14566",8
"49","DOID:8541","DOID:14566",11
"50","DOID:48","DOID:7",3
"51","DOID:8549","DOID:7",4
"52","DOID:11608","DOID:7",5
"53","DOID:10290","DOID:14566",7
"54","DOID:10293","DOID:7",9
"55","DOID:1712","DOID:7",6
"56","DOID:1713","DOID:7",6
"57","DOID:11963","DOID:7",4
"58","DOID:11968","DOID:7",6
"59","DOID:0050292","DOID:0050117",4
"60","DOID:0050290","DOID:0050117",5
"61","DOID:0050291","DOID:0050117",3
"62","DOID:6857","DOID:14566",8
"63","DOID:7851","DOID:14566",8
"64","DOID:13185","DOID:7",4
"65","DOID:13186","DOID:7",4
"66","DOID:13189","DOID:7",7
"67","DOID:12594","DOID:7",7
"68","DOID:3917","DOID:14566",6
"69","DOID:11432","DOID:7",5
"70","DOID:4894","DOID:14566",11
"71","DOID:4895","DOID:14566",6
