"","child","parent","length"
"1","DOID:4606","DOID:14566",6
"2","DOID:8778","DOID:7",5
"3","DOID:1793","DOID:14566",5
"4","DOID:11612","DOID:225",2
"5","DOID:0050742","DOID:150",4
"6","DOID:10871","DOID:7",10
"7","DOID:2377","DOID:7",6
"8","DOID:12236","DOID:7",6
"9","DOID:0050156","DOID:7",7
"10","DOID:5099","DOID:14566",7
"11","DOID:3310","DOID:7",5
"12","DOID:10763","DOID:7",5
"13","DOID:10283","DOID:14566",6
"14","DOID:1725","DOID:14566",4
"15","DOID:7693","DOID:7",7
"16","DOID:1826","DOID:7",5
"17","DOID:1612","DOID:14566",5
"18","DOID:11239","DOID:14566",6
"19","DOID:3312","DOID:150",4
"20","DOID:10608","DOID:7",6
"21","DOID:1936","DOID:7",7
"22","DOID:4362","DOID:14566",6
"23","DOID:5408","DOID:7",7
"24","DOID:11819","DOID:14566",5
"25","DOID:11934","DOID:14566",4
"26","DOID:9970","DOID:0014667",5
"27","DOID:10976","DOID:7",6
"28","DOID:986","DOID:7",5
"29","DOID:1686","DOID:7",8
"30","DOID:5041","DOID:14566",5
"31","DOID:11949","DOID:7",6
"32","DOID:5612","DOID:14566",6
"33","DOID:10811","DOID:14566",5
"34","DOID:585","DOID:7",4
"35","DOID:2986","DOID:7",6
"36","DOID:175","DOID:14566",5
"37","DOID:13241","DOID:7",5
"38","DOID:11555","DOID:7",9
"39","DOID:184","DOID:14566",6
"40","DOID:8850","DOID:14566",6
"41","DOID:4159","DOID:14566",5
"42","DOID:11615","DOID:14566",6
"43","DOID:1595","DOID:150",6
"44","DOID:2841","DOID:7",5
"45","DOID:3121","DOID:14566",6
"46","DOID:3070","DOID:14566",4
"47","DOID:1781","DOID:14566",5
"48","DOID:5875","DOID:14566",4
"49","DOID:3571","DOID:14566",5
"50","DOID:13223","DOID:14566",7
"51","DOID:10652","DOID:7",6
"52","DOID:2998","DOID:14566",6
"53","DOID:10534","DOID:14566",5
"54","DOID:1909","DOID:14566",4
"55","DOID:9206","DOID:7",4
"56","DOID:1324","DOID:14566",5
"57","DOID:0060119","DOID:14566",5
"58","DOID:3565","DOID:14566",6
"59","DOID:2355","DOID:7",4
"60","DOID:11476","DOID:7",7
"61","DOID:1115","DOID:14566",4
"62","DOID:1245","DOID:14566",6
"63","DOID:2531","DOID:14566",5
"64","DOID:9296","DOID:0080015",3
"65","DOID:0050741","DOID:150",4
"66","DOID:1964","DOID:14566",6
"67","DOID:7147","DOID:7",6
"68","DOID:1192","DOID:14566",5
"69","DOID:11119","DOID:150",5
"70","DOID:263","DOID:14566",5
"71","DOID:5559","DOID:14566",5
"72","DOID:8893","DOID:7",4
"73","DOID:11714","DOID:0014667",6
"74","DOID:14330","DOID:7",6
"75","DOID:8986","DOID:150",3
"76","DOID:594","DOID:150",4
"77","DOID:3393","DOID:7",5
"78","DOID:12361","DOID:7",6
"79","DOID:8577","DOID:7",6
"80","DOID:14221","DOID:0014667",5
"81","DOID:2994","DOID:14566",4
"82","DOID:14227","DOID:7",5
"83","DOID:4481","DOID:7",7
"84","DOID:12995","DOID:150",4
"85","DOID:12930","DOID:7",6
"86","DOID:332","DOID:7",6
"87","DOID:11920","DOID:14566",5
"88","DOID:2174","DOID:14566",6
"89","DOID:9835","DOID:7",6
"90","DOID:9074","DOID:7",4
"91","DOID:1312","DOID:7",7
"92","DOID:119","DOID:14566",6
"93","DOID:9008","DOID:225",2
"94","DOID:7148","DOID:7",7
"95","DOID:13189","DOID:7",7
"96","DOID:2596","DOID:14566",5
"97","DOID:8398","DOID:7",7
"98","DOID:3083","DOID:7",6
"99","DOID:10941","DOID:7",8
"100","DOID:824","DOID:7",6
"101","DOID:4045","DOID:14566",5
"102","DOID:9744","DOID:0014667",6
"103","DOID:14004","DOID:7",7
"104","DOID:2394","DOID:14566",6
"105","DOID:13499","DOID:14566",7
"106","DOID:1024","DOID:0050117",4
"107","DOID:5419","DOID:150",4
"108","DOID:10021","DOID:14566",7
"109","DOID:0060073","DOID:14566",5
"110","DOID:4989","DOID:7",4
"111","DOID:12849","DOID:150",5
"112","DOID:12185","DOID:7",6
"113","DOID:418","DOID:7",6
"114","DOID:9352","DOID:0014667",6
"115","DOID:10153","DOID:14566",7
"116","DOID:14268","DOID:7",7
"117","DOID:12306","DOID:7",5
"118","DOID:216","DOID:7",6
"119","DOID:2043","DOID:0050117",3
"120","DOID:13378","DOID:7",6
"121","DOID:11054","DOID:14566",5
"122","DOID:90","DOID:7",7
"123","DOID:6364","DOID:7",5
"124","DOID:1094","DOID:150",4
"125","DOID:3277","DOID:14566",5
"126","DOID:784","DOID:7",5
"127","DOID:363","DOID:14566",6
"128","DOID:1319","DOID:14566",6
"129","DOID:1790","DOID:14566",4
"130","DOID:1993","DOID:14566",8
"131","DOID:219","DOID:14566",8
"132","DOID:1459","DOID:7",4
"133","DOID:12365","DOID:0050117",4
"134","DOID:3953","DOID:14566",5
"135","DOID:635","DOID:0050117",4
"136","DOID:0050425","DOID:7",4
