DB01148	Flavoxate
DB01359	Penbutolol
DB00246	Ziprasidone
DB04878	Voglibose
DB06589	Pazopanib
DB00133	L-Serine
DB00972	Azelastine
DB00322	Floxuridine
DB00833	Cefaclor
DB00748	Carbinoxamine
DB00318	Codeine
DB00666	Nafarelin
DB00732	Atracurium
DB06151	Acetylcysteine
DB08991	Epirizole
DB00218	Moxifloxacin
DB00208	Ticlopidine
DB06725	Lornoxicam
DB01105	Sibutramine
DB01078	Deslanoside
DB00264	Metoprolol
DB01115	Nifedipine
DB00304	Desogestrel
DB00302	Tranexamic Acid
DB00432	Trifluridine
DB00360	Tetrahydrobiopterin
DB01553	Cloxazolam
DB00341	Cetirizine
DB01158	Bretylium
DB01414	Cefacetrile
DB01611	Hydroxychloroquine
DB00960	Pindolol
DB08965	Fusafungine
DB01203	Nadolol
DB00849	Methylphenobarbital
DB06827	Viomycin
DB01132	Pioglitazone
DB01173	Orphenadrine
DB00479	Amikacin
DB00050	Cetrorelix
DB00426	Famciclovir
DB00385	Valrubicin
DB01114	Chlorphenamine
DB06707	Levonordefrin
DB04930	Permethrin
DB00421	Spironolactone
DB08847	Hydroxyproline
DB00345	Aminohippurate
DB04942	Tamibarotene
DB01164	Calcium Chloride
DB00802	Alfentanil
DB00651	Dyphylline
DB00852	Pseudoephedrine
DB04575	Quinestrol
DB00621	Oxandrolone
DB00198	Oseltamivir
DB00653	Magnesium Sulfate
DB01064	Isoprenaline
DB00266	Dicoumarol
DB00201	Caffeine
DB00335	Atenolol
DB00173	Adenine
DB00964	Apraclonidine
DB00993	Azathioprine
DB00492	Fosinopril
DB01070	Dihydrotachysterol
DB00803	Colistin
DB00546	Adinazolam
DB00648	Mitotane
DB00284	Acarbose
DB00446	Chloramphenicol
DB09000	Cyamemazine
DB00590	Doxazosin
DB00892	Oxybuprocaine
DB06810	Plicamycin
DB05246	Methsuximide
DB01029	Irbesartan
DB00755	Tretinoin
DB08792	Diloxanide
DB04711	Iodipamide
DB00405	Dexbrompheniramine
DB00923	Ceforanide
DB01165	Ofloxacin
DB01377	Magnesium oxide
DB00682	Warfarin
DB00594	Amiloride
DB00549	Zafirlukast
DB00430	Cefpiramide
DB00158	Folic Acid
DB00652	Pentazocine
DB01144	Diclofenamide
DB06414	Etravirine
DB00130	L-Glutamine
DB00967	Desloratadine
DB01342	Forasartan
DB00543	Amoxapine
DB00962	Zaleplon
DB01375	Dihydroxyaluminium
DB01578	Metrizamide
DB01124	Tolbutamide
DB01018	Guanfacine
DB00154	Dihomo-gamma-linolenic acid
DB01066	Cefditoren
DB01594	Cinolazepam
DB01435	Antipyrine
DB01146	Diphenylpyraline
DB00841	Dobutamine
DB01357	Mestranol
DB01440	Gamma Hydroxybutyric Acid
DB00359	Sulfadiazine
DB01139	Cefapirin
DB00230	Pregabalin
DB00951	Isoniazid
DB00260	Cycloserine
DB01382	Glycodiazine
DB01433	Methadyl Acetate
DB00324	Fluorometholone
DB06817	Raltegravir
DB00853	Temozolomide
DB06717	Fosaprepitant
DB00733	Pralidoxime
DB01231	Diphenidol
DB00151	L-Cysteine
DB01394	Colchicine
DB01076	Atorvastatin
DB00464	Sodium Tetradecyl Sulfate
DB00148	Creatine
DB06237	Avanafil
DB00614	Furazolidone
DB08918	Levomilnacipran
DB08877	Ruxolitinib
DB08815	Lurasidone
DB00455	Loratadine
DB07402	Azapropazone
DB00661	Verapamil
DB00881	Quinapril
DB00713	Oxacillin
DB01238	Aripiprazole
DB00300	Tenofovir
DB00228	Enflurane
DB08910	Pomalidomide
DB00781	Polymyxin B Sulfate
DB01579	Phendimetrazine
DB00204	Dofetilide
DB00303	Ertapenem
DB00774	Hydroflumethiazide
DB00498	Phenindione
DB00493	Cefotaxime
DB01267	Paliperidone
DB01395	Drospirenone
DB00537	Ciprofloxacin
DB01384	Paramethasone
DB00554	Piroxicam
DB00826	Natamycin
DB00846	Flurandrenolide
DB01183	Naloxone
DB00699	Nicergoline
DB00433	Prochlorperazine
DB00530	Erlotinib
DB00824	Enprofylline
DB08974	Flubendazole
DB00305	Mitomycin
DB01369	Quinupristin
DB01063	Acetophenazine
DB00287	Travoprost
DB00799	Tazarotene
DB01229	Paclitaxel
DB00531	Cyclophosphamide
DB00441	Gemcitabine
DB06730	Gestodene
DB00726	Trimipramine
DB06218	Lacosamide
DB00742	Mannitol
DB00527	Cinchocaine
DB04855	Dronedarone
DB01329	Cefoperazone
DB08924	Amfecloral
DB01197	Captopril
DB00641	Simvastatin
DB01241	Gemfibrozil
DB08912	Dabrafenib
DB03255	Phenol
DB08984	Etofenamate
DB00366	Doxylamine
DB01141	Micafungin
DB06712	Nilvadipine
DB00402	Eszopiclone
DB00793	Haloprogin
DB08887	Icosapent ethyl
DB01587	Ketazolam
DB00296	Ropivacaine
DB01426	Ajmaline
DB00868	Benzonatate
DB08957	Hexoprenaline
DB01193	Acebutolol
DB06803	Niclosamide
DB01001	Salbutamol
DB01142	Doxepin
DB08932	MACITENTAN
DB00321	Amitriptyline
DB01046	Lubiprostone
DB00232	Methyclothiazide
DB01040	Hydroxystilbamidine Isethionate
DB00645	Dyclonine
DB01403	Methotrimeprazine
DB00409	Remoxipride
DB00659	Acamprosate
DB00942	Cycrimine
DB00380	Dexrazoxane
DB08933	LULICONAZOLE
DB00516	Bentoquatam
DB00940	Methantheline
DB01591	Solifenacin
DB01331	Cefoxitin
DB00315	Zolmitriptan
DB01437	Glutethimide
DB00384	Triamterene
DB00190	Carbidopa
DB05812	Abiraterone
DB00473	Hexylcaine
DB00660	Metaxalone
DB00741	Hydrocortisone
DB00091	Cyclosporine
DB06710	Methyltestosterone
DB00476	Duloxetine
DB06268	Sitaxentan
DB01355	Hexobarbital
DB00630	Alendronate
DB00451	Levothyroxine
DB08930	Dolutegravir
DB00656	Trazodone
DB00586	Diclofenac
DB00830	Phenmetrazine
DB00711	Diethylcarbamazine
DB00420	Promazine
DB01588	Prazepam
DB00904	Ondansetron
DB08865	Crizotinib
DB04948	Lofexidine
DB06813	Pralatrexate
DB04835	Maraviroc
DB01189	Desflurane
DB00843	Donepezil
DB08905	Formestane
DB00373	Timolol
DB00450	Droperidol
DB00770	Alprostadil
DB01224	Quetiapine
DB01240	Epoprostenol
DB06715	Potassium Iodide
DB00560	Tigecycline
DB00123	L-Lysine
DB01127	Econazole
DB01261	Sitagliptin
DB00445	Epirubicin
DB01182	Propafenone
DB00368	Norepinephrine
DB00458	Imipramine
DB00632	Docosanol
DB00936	Salicylic acid
DB00326	Calcium Gluceptate
DB01392	Yohimbine
DB00155	L-Citrulline
DB00567	Cephalexin
DB00358	Mefloquine
DB08916	Afatinib
DB01198	Zopiclone
DB00684	Tobramycin
DB00509	Dextrothyroxine
DB01223	Aminophylline
DB01361	Troleandomycin
DB08604	Triclosan
DB00407	Ardeparin
DB00551	Acetohydroxamic Acid
DB08807	Bopindolol
DB00538	Gadoversetamide
DB01093	Dimethyl sulfoxide
DB00680	Moricizine
DB00768	Olopatadine
DB01268	Sunitinib
DB00782	Propantheline
DB09020	Bisacodyl
DB01274	Arformoterol
DB00882	Clomifene
DB00191	Phentermine
DB01393	Bezafibrate
DB01032	Probenecid
DB08946	Iopanoic acid
DB00949	Felbamate
DB08808	Bupranolol
DB00795	Sulfasalazine
DB01068	Clonazepam
DB00240	Alclometasone
DB01251	Gliquidone
DB00226	Guanadrel
DB01051	Novobiocin
DB01175	Escitalopram
DB01013	Clobetasol propionate
DB01048	Abacavir
DB00328	Indomethacin
DB00922	Levosimendan
DB00471	Montelukast
DB00783	Estradiol
DB01143	Amifostine
DB01196	Estramustine
DB01199	Tubocurarine
DB01017	Minocycline
DB01614	Acepromazine
DB00390	Digoxin
DB06287	Temsirolimus
DB00756	Hexachlorophene
DB00467	Enoxacin
DB00903	Ethacrynic acid
DB00771	Clidinium
DB01178	Chlormezanone
DB00238	Nevirapine
DB00634	Sulfacetamide
DB00927	Famotidine
DB00443	Betamethasone
DB00355	Aztreonam
DB01009	Ketoprofen
DB01222	Budesonide
DB01044	Gatifloxacin
